,Bathrooms,Bedrooms,Fibre Internet,Floor Size,Garages,Listing Date,Listing Number,Price,Town,Type of Property,Erf Size,Garden,Parking,Pool,Pet Friendly,No Pets Allowed,Secure Parking,Furnished,Flatlet,ADSL Internet,Furnished (Optional),Satellite Internet,Fixed WiMax Internet
1998,1.0,3.0,,,1.0,23 July 2020,108904434,1250000.0000,"Capricorn, Cape Town",Townhouse,,,,,,,,,,,,,
1999,7.0,7.0,,730 m²,4.0,21 February 2019,107228006,17500000.0000,"Constantia, Cape Town",House,3 389 m²,1.0,,1.0,1.0,,,,1.0,,,,
2000,2.0,2.0,,96 m²,,26 September 2019,107981595,5485000.0000,"169 Main Road, Green Point, Cape Town",Apartment / Flat,,,,,,,2.0,,,,,,
2001,1.0,,,31 m²,,09 June 2020,108721865,1595000.0000,"Gardens, Cape Town",Apartment / Flat,,1.0,,,1.0,,,1.0,,,,,
2002,2.5,2.0,1.0,140 m²,1.0,24 February 2020,108482731,5500000.0000,"Wavecrest 305 Beach Road, Sea Point, Cape Town",Apartment / Flat,,,1.0,,,,,,,,,,
2003,2.0,3.0,,,1.0,09 July 2020,108855257,1450000.0000,"7 Seagull Crescent, Muizenberg, Cape Town",House,208 m²,1.0,2.0,,1.0,,,,,,,,
2004,1.0,1.0,,55 m²,,24 February 2020,108482758,1550000.0000,"2 Dockrail Road, Foreshore, Cape Town",Apartment / Flat,,,,,,,1.0,,,,,,
2005,1.0,2.0,,71 m²,,29 January 2020,108381135,2895000.0000,"3 Derwent, Gardens, Cape Town",Apartment / Flat,71 m²,,,1.0,,,1.0,,,,,,
2006,1.0,,,21 m²,,23 July 2020,108903190,895000.0000,"Woodstock, Cape Town",Apartment / Flat,,,1.0,,,,,,,,,,
2007,1.0,2.0,,,,27 June 2020,108808169,690000.0000,"104 Comet Road, Ocean View, Cape Town",House,84 m²,,,,,,,,,,,,
2008,2.0,1.0,1.0,54 m²,1.0,25 June 2020,108800940,2500000.0000,"Woodstock, Woodstock, Cape Town",Apartment / Flat,,1.0,1.0,,,,,,,,,,
2009,1.0,2.0,,123 m²,1.0,04 December 2019,108242291,4950000.0000,"Sea Point, Cape Town",House,281 m²,,,1.0,1.0,,,,,,,,
2010,3.0,4.0,,800 m²,4.0,08 January 2020,108297684,24800000.0000,"11 The Avenue Silverhurst, Constantia, Cape Town",House,1 350 m²,,,1.0,1.0,,,,,,,,
2011,1.0,2.0,,94 m²,1.0,26 May 2020,108684963,1800000.0000,"Pinelands, Cape Town",Apartment / Flat,,,1.0,,,,,,,,,,
2012,1.0,2.0,,110 m²,1.0,16 January 2020,108325086,3200000.0000,"1 Brunswick Court, Tamboerskloof, Cape Town",Apartment / Flat,,,,,,,,,,,,,
2013,2.0,2.0,,,,09 March 2020,108546828,7995000.0000,"98 Waterkant. Street, De Waterkant, Cape Town",House,67 m²,,,,,,,,,,,,
2014,1.0,1.0,,57 m²,,19 February 2020,108466940,1250000.0000,"64 Sir Lowry Road, Zonnebloem, Cape Town",Apartment / Flat,57 m²,,1.0,,,1.0,,,,,,,
2015,3.0,4.0,,206 m²,2.0,10 March 2020,108552343,5550000.0000,"12 Alexandra Road, Wynberg Upper, Cape Town",House,918 m²,,2.0,,,,,,,,,,
2016,1.0,2.0,,45 m²,,31 May 2020,108694919,785000.0000,"Belhar, Cape Town",Apartment / Flat,,,1.0,1.0,,,,,,,,,
2017,3.0,4.0,,,2.0,29 January 2020,108380448,5495000.0000,"42 Dalmore Road, Tokai, Cape Town",House,1 013 m²,1.0,,,1.0,,,,,,,,
2018,1.0,1.0,,93 m²,,05 February 2020,108407172,2550000.0000,"31-39 Adderley Street, Cape Town City Centre, Cape Town",Apartment / Flat,,,1.0,1.0,,1.0,,,,,,,
2019,2.0,3.0,,174 m²,1.0,06 February 2020,108409276,7750000.0000,"265 Beach Road, Sea Point, Cape Town",Apartment / Flat,,,,,,,,,,,,,
2020,2.0,2.0,,108 m²,,17 June 2020,108769400,4500000.0000,"Cape Town City Centre, Cape Town",Apartment / Flat,,,2.0,1.0,,1.0,,1.0,,,,,
2021,1.0,3.0,,103 m²,,23 June 2020,108790193,4300000.0000,"Gardens, Cape Town",House,265 m²,,5.0,,,,,,,,,,
2022,4.0,6.0,,,,29 June 2020,108811047,4995000.0000,"Tokai, Cape Town",House,1 058 m²,1.0,,1.0,,,4.0,,,,,,
2023,2.5,2.0,1.0,230 m²,,05 February 2020,108404670,5750000.0000,"Seven On S 7 Selbourne Road, Sea Point, Cape Town",Apartment / Flat,,1.0,1.0,,,,,,,,,,
2024,1.0,2.0,,93 m²,1.0,16 March 2020,108571274,4499000.0000,"259 Beach Road, Sea Point, Cape Town",Apartment / Flat,,,,,,,,,,,,,
2025,2.0,2.0,1.0,74 m²,,25 May 2020,108682109,2395000.0000,"Vredehoek, Cape Town",Apartment / Flat,8 000 m²,,2.0,,,1.0,,,,,,,
2026,2.0,2.0,,,,26 August 2020,109032757,1200000.0000,"Wynberg, Cape Town",Apartment / Flat,,,1.0,,,,,,,,,,
2027,1.0,0.5,,36 m²,,09 March 2020,108547364,1650000.0000,"70 St Martini Gardens, Cape Town City Centre, Cape Town",Apartment / Flat,,,,,,,,,,,,,
2028,1.0,0.5,,47 m²,,16 July 2019,107707333,2495000.0000,"23 Beach Road, Mouille Point, Cape Town",Apartment / Flat,47 m²,,,,,,,,,,,,
2029,1.0,0.5,,,1.0,27 July 2020,108917609,1600000.0000,"Sea Point, Cape Town",Apartment / Flat,,,,,,1.0,,1.0,,,,,
2030,1.0,2.0,,76 m²,,29 July 2019,107759834,2650000.0000,"Sea Point, Cape Town",Apartment / Flat,,,,,,,1.0,,,,,,
2031,7.0,6.0,,350 m²,,22 May 2020,108678972,5995000.0000,"Claremont, Cape Town",House,548 m²,1.0,,1.0,,,3.0,,,,,,
2032,2.0,2.0,1.0,,,03 August 2020,108940556,1950000.0000,"Salt River, Cape Town",Apartment / Flat,,,2.0,1.0,,,,,,,,,
2033,1.5,2.5,1.0,165 m²,2.0,25 February 2020,108487805,3750000.0000,"6 Seymour Avenue, Vredehoek, Cape Town",Apartment / Flat,265 m²,1.0,,,1.0,,,,,,,,
2034,1.0,1.0,1.0,55 m²,1.0,22 June 2020,108786311,2995000.0000,"102 The Vera, 19 Davenport Road, Vredehoek, Cape Town",Apartment / Flat,55 m²,,,,1.0,,,,,,,,
2035,2.5,6.0,,370 m²,2.0,23 January 2020,108354493,8900000.0000,"75 Sandown Road, Rondebosch, Cape Town",House,1 230 m²,,2.0,1.0,1.0,,,,1.0,,,,
2036,1.0,3.0,,,1.0,03 July 2020,108829545,2200000.0000,"Belthorne Estate, Cape Town",House,528 m²,,,,,,4.0,,1.0,,,,
2037,2.0,3.0,,125 m²,,20 May 2020,108674541,2499999.0000,"Rondebosch, Cape Town",Apartment / Flat,,,1.0,,,,,,,,,,
2038,1.0,1.0,,52 m²,1.0,14 January 2020,108317645,2150000.0000,"40 Wembley Square, Gardens, Cape Town",Apartment / Flat,,,,1.0,,,,,,,,,
2039,1.0,3.0,,103 m²,,23 June 2020,108790193,4300000.0000,"Gardens, Cape Town",House,265 m²,,5.0,,,,,,,,,,
2040,2.0,2.0,,105 m²,1.0,25 February 2020,108486848,3900000.0000,"13 Bertram Road, Sea Point, Cape Town",Apartment / Flat,,,,,,,,,,,,,
2041,2.0,2.0,1.0,74 m²,,25 May 2020,108682109,2395000.0000,"Vredehoek, Cape Town",Apartment / Flat,8 000 m²,,2.0,,,1.0,,,,,,,
2042,1.0,1.0,,64 m²,1.0,17 January 2020,108330539,1450000.0000,"18 Bowwood Road, Claremont Upper, Cape Town",Apartment / Flat,,,,,,,,,,,,,
2043,2.0,2.0,,135 m²,,08 January 2020,107153739,9995000.0000,"South Seas, 129 Beach Road, Mouille Point, Cape Town",Apartment / Flat,135 m²,,2.0,,,,,,,,,,
2044,2.0,2.0,,,,26 August 2020,109032757,1200000.0000,"Wynberg, Cape Town",Apartment / Flat,,,1.0,,,,,,,,,,
2045,1.0,0.5,,38 m²,,19 June 2020,108781400,1050000.0000,"Woodstock, Cape Town",Apartment / Flat,,,,1.0,,,,,,,,,
2046,1.0,0.5,,,1.0,27 July 2020,108917609,1600000.0000,"Sea Point, Cape Town",Apartment / Flat,,,,,,1.0,,1.0,,,,,
2047,2.0,2.0,,120 m²,,23 December 2019,108281565,8900000.0000,"39 Loader Street, De Waterkant, Cape Town",House,80 m²,,,,,,,,,,,,
2048,1.0,2.0,,76 m²,,29 July 2019,107759834,2650000.0000,"Sea Point, Cape Town",Apartment / Flat,,,,,,,1.0,,,,,,
2049,2.0,4.0,,195 m²,2.0,10 January 2020,108304979,4290000.0000,"74 Alpina Road, Claremont, Cape Town",House,484 m²,,,,,,,,,,,,
2050,3.0,3.0,,310 m²,,12 March 2019,107292133,49990000.0000,"10 Victoria Road, Clifton, Cape Town",Apartment / Flat,,,,,,,2.0,,,,,,
2051,1.0,,,54 m²,,17 February 2020,108450935,1995000.0000,"220 Loop Street, Cape Town, Cape Town City Centre, Cape Town",Apartment / Flat,,,,,,,,,,,,,
2052,3.0,4.0,,,2.0,15 May 2020,108664269,4750000.0000,"Constantia, Cape Town",House,700 m²,,2.0,1.0,1.0,,,,,,,,
2053,3.0,4.0,,,1.0,07 July 2020,108844332,3495000.0000,"Rylands, Cape Town",House,496 m²,1.0,4.0,,1.0,,,,1.0,,,,
2054,1.0,1.0,1.0,45 m²,,25 December 2019,108282514,1950000.0000,"159 Beach Road, Mouille Point, Cape Town",Apartment / Flat,,,,,,,,,,,,,
2055,2.0,2.0,1.0,88 m²,,16 January 2020,108326410,3995000.0000,"Arthur's Seat Mansions 267 Beach Road, Sea Point, Cape Town",Apartment / Flat,,,,,,,,,,,,,
2056,3.0,4.0,,,1.0,10 June 2020,108728505,2450000.0000,"Ottery, Cape Town",House,400 m²,,4.0,,,,,,,,,,
2057,2.0,5.0,,,2.0,12 June 2020,108757984,3750000.0000,"Rondebosch, Cape Town",House,575 m²,1.0,2.0,,,,,,,,,,
2058,1.0,1.0,,46 m²,,04 June 2020,108709117,2495000.0000,"Bantry Bay, Cape Town",Apartment / Flat,,,,,,,,,,,,,
2059,1.0,1.0,,45 m²,,10 May 2020,108653860,1675000.0000,"40 Wesley Street, Gardens, Cape Town",Apartment / Flat,45 m²,,,,,,,,,,,,
2060,2.0,3.0,1.0,156 m²,1.0,26 May 2020,108684843,3495000.0000,"1 Cap Michel Close (border Boys Drive), Muizenberg, Cape Town",Townhouse,460 m²,1.0,1.0,,1.0,,,,,,,,
2061,1.0,1.0,,130 m²,,27 January 2020,108367106,4195000.0000,"12 Summerley Road, Kenilworth Upper, Cape Town",House,535 m²,,1.0,,,,,,,,,,
2062,3.0,3.0,,170 m²,1.0,22 June 2020,108786577,2295000.0000,"Plumstead, Cape Town",House,496 m²,,2.0,,,,,,,,,,
2063,4.0,4.0,,,2.0,31 January 2020,108390076,24900000.0000,"28 St Johns Estate, Higgovale, Cape Town",House,404 m²,,,1.0,,,2.0,,,,,,
2064,1.0,,,25 m²,,10 January 2020,108307857,1200000.0000,"5 Nicol Street, Gardens, Cape Town",Apartment / Flat,25 m²,,,,,,,,,,,,
2065,1.0,1.0,,60 m²,1.0,02 March 2020,108517231,2595000.0000,"Doray Court, 86 Joubert Road, Green Point, Cape Town",Apartment / Flat,,,,,,,,,,,,,
2066,4.5,3.0,,418 m²,2.0,19 December 2019,108277280,25000000.0000,"2 Arcadia Road, Fresnaye, Cape Town",Apartment / Flat,,1.0,3.0,,,,,,,,,,
2067,2.0,3.0,1.0,239 m²,1.0,16 March 2020,108574164,3995000.0000,"23 Pinetree Crescent, Vredehoek, Cape Town",House,239 m²,1.0,,,1.0,,,,,,,,
2068,2.0,3.0,,,1.0,05 December 2019,105999062,3650000.0000,"4 Woodside Court, Rondebosch, Cape Town",House,504 m²,1.0,1.0,1.0,1.0,,,,,,,,
2069,1.0,,,54 m²,,17 February 2020,108450935,1995000.0000,"220 Loop Street, Cape Town, Cape Town City Centre, Cape Town",Apartment / Flat,,,,,,,,,,,,,
2070,2.0,2.0,,105 m²,,04 June 2020,108706713,3500000.0000,"Sea Point, Cape Town",Apartment / Flat,110 m²,,1.0,,1.0,,,,,,,,
2071,9.0,15.0,,,2.0,19 June 2020,108780525,,"Constantia, Cape Town",House,13 888 m²,,5.0,1.0,,,,,1.0,,,,
2072,1.0,1.0,,,,15 July 2020,108873243,2850000.0000,"10 Quendon Road, Sea Point, Cape Town",Apartment / Flat,,,1.0,,,,,,,,,,
2073,4.0,4.0,,252 m²,1.0,06 January 2020,108291314,16995000.0000,"269 Beach Road, Sea Point, Cape Town",Apartment / Flat,,,,,,,,,,,,,
2074,1.0,0.5,1.0,63 m²,1.0,20 May 2020,108673515,1400000.0000,"Woodstock, Cape Town",Apartment / Flat,63 m²,,,,1.0,,,,,,,,
2075,4.5,4.0,,,2.0,12 June 2020,108736506,16500000.0000,"Steenberg Golf Estate, Cape Town",House,1 190 m²,1.0,2.0,1.0,1.0,,,,,,,,
2076,1.0,1.0,,89 m²,1.0,09 June 2020,108723863,1450000.0000,"Claremont Upper, Cape Town",Apartment / Flat,,,,,,,,,,,,,
2077,4.0,4.0,,208 m²,3.0,12 June 2020,107413217,6750000.0000,"Claremont Upper, Cape Town",House,565 m²,1.0,1.0,1.0,,,,,,,,,
2078,7.5,6.0,,,2.0,05 September 2019,107907772,21750000.0000,"2 Medburn Road, Camps Bay, Cape Town",House,846 m²,1.0,,1.0,,,4.0,,,,,,
2079,1.0,0.5,,37 m²,,06 July 2020,108835785,1950000.0000,"Cape Town City Centre, Cape Town",Apartment / Flat,,,1.0,1.0,,,,,,,,,
2080,2.5,5.0,,,,06 July 2020,108838458,8950000.0000,"Silvertree Estate, Cape Town",House,640 m²,,5.0,1.0,1.0,,,,1.0,,,,
2081,2.0,8.0,,,,03 June 2020,108702655,,"11 & 15 Franklin Street, Observatory, Cape Town",House,425 m²,,,,,,,,,,,,
2082,2.0,2.0,,274 m²,,24 December 2019,108282213,9500000.0000,"31-39 Adderley Street, Cape Town City Centre, Cape Town",Apartment / Flat,,,,1.0,,,2.0,,,,,,
2083,1.0,1.0,1.0,38 m²,,20 December 2019,108278830,790000.0000,"Anfield Village, 180 Forest Drive Extension Road, Pinelands, Cape Town",Apartment / Flat,,,,,,1.0,,,,,,,
2084,1.0,1.0,,45 m²,1.0,30 January 2020,108385126,3400000.0000,"35 Main Road, Green Point, Cape Town",Apartment / Flat,,,,,,1.0,,,,,,,
2085,3.0,4.0,,250 m²,,19 May 2020,108670422,8950000.0000,"Camps Bay, Cape Town",House,552 m²,1.0,,,1.0,,1.0,,,,,,
2086,3.0,4.0,,,2.0,20 March 2020,108593100,8995000.0000,"16 The Fairway Way, Camps Bay, Cape Town",House,495 m²,1.0,,1.0,,,,,,,,,
2087,1.0,1.0,,,,08 July 2019,107677284,1395000.0000,"Pinelands, Cape Town",Apartment / Flat,,1.0,,1.0,,,,,,,,,
2088,1.0,1.0,,64 m²,,17 July 2020,108884709,3200000.0000,"Camps Bay, Cape Town",Apartment / Flat,,,1.0,,,1.0,,,,,,,
2089,4.0,4.0,,,,28 January 2020,107381384,13950000.0000,"23 The Drive, Camps Bay, Cape Town",House,672 m²,,,1.0,1.0,,,,,,,,
2090,3.0,4.0,,334 m²,2.0,19 December 2019,108276494,12500000.0000,"5 Sohland Avenue, Constantia, Cape Town",House,3 866 m²,,4.0,1.0,1.0,,,,1.0,,,,
2091,2.0,3.0,,,2.0,17 March 2020,108575875,3750000.0000,"14 Blinde, Zonnebloem, Cape Town",House,185 m²,,,,1.0,,,1.0,,,,,
2092,2.0,2.0,1.0,,2.0,04 July 2020,108827839,4950000.0000,"37 Main Road, Green Point, Cape Town",Apartment / Flat,122 m²,,,,1.0,,,,,,,,
2093,1.0,1.0,,49 m²,,05 February 2020,108405376,2950000.0000,"44 Beach Road, Mouille Point, Cape Town",Apartment / Flat,49 m²,,,,,,,,,,,,
2094,1.0,1.0,,49 m²,,08 July 2020,108846231,2075000.0000,"Newlands, Cape Town",Apartment / Flat,,1.0,1.0,1.0,,,,,,,,,
2095,3.5,4.0,,664 m²,4.0,09 July 2020,108851152,32000000.0000,"Constantia, Cape Town",House,8 062 m²,1.0,,1.0,,,,,,,,,
2096,2.0,2.0,,132 m²,1.0,24 January 2020,108363194,5800000.0000,"12 St Johns Road, Fresnaye, Cape Town",Apartment / Flat,,,,,,,,,,,,,
2097,7.5,6.0,,,2.0,05 September 2019,107907772,21750000.0000,"2 Medburn Road, Camps Bay, Cape Town",House,846 m²,1.0,,1.0,,,4.0,,,,,,
2098,1.0,2.0,1.0,,,10 June 2020,108728709,1749999.0000,"9 Cavendish Street, Woodstock, Cape Town",House,118 m²,,1.0,,,,,,,,,,
2099,2.5,4.0,,163 m²,,25 May 2020,108682074,4499000.0000,"Rosebank, Cape Town",House,575 m²,1.0,3.0,,,,,,1.0,,,,
2100,1.0,2.0,,,,21 September 2020,109140696,970000.0000,"Wynberg, Cape Town",Apartment / Flat,62 m²,,,,,,,,,,,,
2101,1.0,,,43 m²,,26 March 2019,107336919,1600000.0000,"66 On Keerom, Cape Town City Centre, Cape Town",Apartment / Flat,43 m²,,,,,1.0,,,,,,,
2102,3.0,4.0,,,2.0,20 March 2020,108593100,8995000.0000,"16 The Fairway Way, Camps Bay, Cape Town",House,495 m²,1.0,,1.0,,,,,,,,,
2103,2.0,2.0,,78 m²,,20 December 2019,108278282,3385000.0000,"109 Main Road, St James, Cape Town",Apartment / Flat,,,,1.0,,,1.0,,,,,,
2104,1.0,3.0,,75 m²,1.0,12 December 2019,108263616,1490000.0000,"1 Constitution, Zonnebloem, Cape Town",Apartment / Flat,,,,1.0,1.0,,,,,,,,
2105,2.0,2.0,,140 m²,1.0,31 January 2020,108389850,7900000.0000,"265 Beach Road, Sea Point, Cape Town",Apartment / Flat,,,,,,,,,,,,,
2106,1.0,2.0,,183 m²,,06 July 2020,108835485,4500000.0000,"Sea Point, Cape Town",House,,,,,1.0,,,,,,,,
2107,3.0,4.0,,,1.0,28 November 2019,108225597,10950000.0000,"23b Chesterfield Road, Oranjezicht, Cape Town",House,672 m²,1.0,,,,,1.0,,,,,,
2108,4.0,4.0,,,,28 January 2020,107381384,13950000.0000,"23 The Drive, Camps Bay, Cape Town",House,672 m²,,,1.0,1.0,,,,,,,,
2109,2.0,4.0,,,,10 June 2020,108728318,2899000.0000,"Plumstead, Cape Town",House,427 m²,,4.0,,,,,,,,,,
2110,1.0,0.5,,38 m²,,03 August 2020,108943796,1050000.0000,"Cape Town City Centre, Cape Town",Apartment / Flat,,,,,,1.0,,,,,,,
2111,2.0,3.0,,250 m²,2.0,25 September 2019,105994562,3950000.0000,"14 Upper Adelaide Road, Walmer Estate, Cape Town",House,322 m²,1.0,1.0,,1.0,,,,1.0,,,,
2112,2.0,4.0,1.0,,2.0,12 June 2020,108759113,2495000.0000,"Thornton, Cape Town",House,645 m²,1.0,2.0,1.0,,,,,,,,,
2113,1.0,1.0,,47 m²,,02 March 2016,103655146,1395000.0000,"Pinelands, Cape Town",Apartment / Flat,12 241 m²,,,,,,1.0,,,,,,
2114,1.0,1.0,,49 m²,,05 February 2020,108405376,2950000.0000,"44 Beach Road, Mouille Point, Cape Town",Apartment / Flat,49 m²,,,,,,,,,,,,
2115,3.0,4.0,,,2.0,13 August 2019,107819407,12500000.0000,"5 Sohland Avenue, Constantia, Cape Town",House,,1.0,5.0,1.0,,,,,,,,,
2116,1.0,1.0,,54 m²,,25 February 2020,108488728,3540000.0000,"229 Main Road, Sea Point, Cape Town",Apartment / Flat,,,1.0,,,1.0,,,,,,,
2117,2.0,2.0,,92 m²,,25 February 2020,108488300,5750000.0000,"229 Main Road, Sea Point, Cape Town",Apartment / Flat,,,2.0,,,1.0,,,,,,,
2118,3.0,2.0,,280 m²,2.0,06 December 2019,108250549,10995000.0000,"12 St Johns Road, Fresnaye, Cape Town",Apartment / Flat,,,,,,,,,,,,,
2119,1.5,2.0,,81 m²,1.0,31 January 2020,108389590,2995000.0000,"8 Vesperdene Road, Green Point, Cape Town",Apartment / Flat,,,,,,,1.0,,,,,,
2120,1.0,1.0,,,,02 September 2020,109059485,1350000.0000,"Salt River, Cape Town",Apartment / Flat,,,1.0,,,,,,,,,,
2121,2.0,3.0,,,1.0,31 July 2020,108936958,1450000.0000,"Muizenberg, Cape Town",House,,,,1.0,,,,,,,,,
2122,2.0,3.0,,131 m²,1.0,20 March 2020,108589973,3150000.0000,"1 Miller Road, Claremont, Cape Town",House,368 m²,,2.0,,1.0,,,,1.0,,,,
2123,2.0,2.0,,96 m²,,25 February 2020,108488137,5950000.0000,"229 Main Road, Sea Point, Cape Town",Apartment / Flat,,,2.0,,,1.0,,,,,,,
2124,1.5,1.0,,97 m²,,05 December 2019,108248057,5350000.0000,"70 Prestwich, De Waterkant, Cape Town",Apartment / Flat,,,,1.0,1.0,,,,,,,,
2125,5.0,5.0,,166 m²,2.0,05 December 2019,108247377,16900000.0000,"15 Highwick Drive, Kenilworth Upper, Cape Town",House,2 232 m²,,4.0,1.0,1.0,,,,1.0,,,,
2126,2.0,3.0,,110 m²,1.0,19 February 2020,108464191,2695000.0000,"24 Yellowwood Crescent, Diep River, Cape Town",House,450 m²,1.0,1.0,1.0,1.0,,,,,,,,
2127,1.0,1.0,,,,24 July 2020,108911978,1995000.0000,"Sea Point, Cape Town",Apartment / Flat,,,,,,,,,,,,,
2128,2.0,3.0,,104 m²,,25 February 2020,108488440,5750000.0000,"229 Main Road, Sea Point, Cape Town",Apartment / Flat,,,2.0,,,1.0,,,,,,,
2129,3.0,6.0,,,2.0,14 July 2020,108869239,6995000.0000,"Dennedal, Cape Town",House,,,,1.0,,,,,,,,,
2130,1.0,2.0,,72 m²,1.0,24 February 2020,108482507,2995000.0000,"6 Kort Street, Green Point, Cape Town",Apartment / Flat,,,,,,1.0,,,,,,,
2131,2.0,2.0,1.0,82 m²,1.0,04 June 2020,108709263,3995000.0000,"Woodstock, Woodstock, Cape Town",Apartment / Flat,,1.0,1.0,,,,,,,,,,
2132,1.0,1.0,,54 m²,,10 February 2020,108427018,3200000.0000,"Mouille Point, Cape Town",Apartment / Flat,,,,,,,1.0,,,,,,
2133,1.0,2.0,1.0,56 m²,1.0,20 January 2020,108342260,1425000.0000,"34 Dickson Street, Woodstock, Cape Town",Apartment / Flat,,,,,,,,,,,,,
2134,5.0,5.0,,,3.0,08 July 2020,108847770,29000000.0000,"Llandudno, Cape Town",House,1 241 m²,,3.0,1.0,,1.0,,,,,,,
2135,1.0,2.0,,76 m²,1.0,17 December 2019,108272538,4495000.0000,"15 Bennett Street, De Waterkant, Cape Town",Apartment / Flat,,,,,,1.0,,1.0,,,,,
2136,1.0,0.5,,52 m²,,19 May 2020,108672039,2100000.0000,"Three Anchor Bay, Cape Town",Apartment / Flat,,,,,,,,,,,,,
2137,3.0,3.0,,180 m²,,28 January 2020,108373517,9500000.0000,"12 Clydebank Road, Green Point, Cape Town",House,196 m²,1.0,,1.0,1.0,,,,,,,,
2138,5.0,5.0,,,3.0,02 August 2019,107779429,16900000.0000,"Kenilworth Upper, Cape Town",House,2 231 m²,1.0,8.0,1.0,,,,,,,,,
2139,2.0,5.0,,,1.0,02 June 2020,108701220,1200000.0000,"Choir, Steenberg, Cape Town",House,,1.0,2.0,,,,,,,,,,
2140,2.0,3.0,1.0,,,14 March 2020,108568733,4200000.0000,"2 Stone Road, Three Anchor Bay, Cape Town",House,125 m²,1.0,,,1.0,,,,,,,,
2141,2.0,2.0,,140 m²,,06 December 2019,108250121,10995000.0000,"Amalfi, 125 Beach Road, Mouille Point, Cape Town",Apartment / Flat,140 m²,,2.0,,,,,,,,,,
2142,1.0,1.0,1.0,45 m²,1.0,15 January 2020,108319922,2500000.0000,"117 Strand Street, De Waterkant, Cape Town",Apartment / Flat,,,,,,,,,,,,,
2143,1.0,1.0,,72 m²,,25 January 2020,108364395,3500000.0000,"90 Main Road, Kalk Bay, Cape Town",Apartment / Flat,72 m²,,,,,,,,,,,,
2144,2.0,2.0,,88 m²,1.0,06 February 2020,108412179,3300000.0000,"The Firmont, 315 Main Road, Sea Point, Cape Town",Apartment / Flat,,,,,,1.0,,,,,,,
2145,2.0,2.0,,83 m²,,15 June 2020,108761927,4500000.0000,"Cape Town City Centre, Cape Town",Apartment / Flat,,,,,,,1.0,,,,,,
2146,1.0,1.0,,33 m²,,03 June 2020,106692884,525000.0000,"Kensington, Cape Town",Apartment / Flat,,,,,,,,,,,,,
2147,2.0,4.0,,,1.0,05 December 2019,108246134,6995000.0000,"14 Barnham Avenue, Vredehoek, Cape Town",House,373 m²,,2.0,1.0,1.0,,,,,,,,
2148,2.0,2.0,,67 m²,,04 October 2019,108011501,2395000.0000,"187 Sir Lowry, Woodstock, Cape Town",Apartment / Flat,,,1.0,1.0,,1.0,,,,,,,
2149,1.0,3.0,,120 m²,2.0,11 December 2019,108262255,3650000.0000,"1 Lambert Road, Vredehoek, Cape Town",House,280 m²,,,,,,,,,,,,
2150,2.5,3.0,,,2.0,10 January 2020,108306146,8750000.0000,"Sea Point, Cape Town",Apartment / Flat,,,,,,1.0,,,,,,,
2151,2.0,2.0,,90 m²,2.0,02 September 2020,109059777,5995000.0000,"De Waterkant, Cape Town",Apartment / Flat,,,,,,,,,,,,,
2152,2.0,3.0,,137 m²,1.0,02 June 2020,108700493,5995000.0000,"Sea Point, Cape Town",Apartment / Flat,223 m²,1.0,1.0,1.0,,1.0,,,,,,,
2153,5.0,6.0,,1352 m²,10.0,04 December 2019,108241906,21850000.0000,"1a Glengariff Road, Three Anchor Bay, Cape Town",Apartment / Flat,,1.0,5.0,,1.0,,,,1.0,,,,
2154,1.0,3.0,,,,10 July 2020,108858933,4100000.0000,"Mowbray, Cape Town",House,599 m²,1.0,7.0,,,,,,,,,,
2155,3.5,3.0,1.0,250 m²,2.0,18 December 2019,108275024,6480000.0000,"21 Aloe Street, Vredehoek, Cape Town",House,463 m²,1.0,1.0,,1.0,,,,,,,,
2156,6.5,7.0,,490 m²,2.0,27 November 2019,108223941,11500000.0000,"17a Francolin Road, Camps Bay, Cape Town",House,690 m²,1.0,7.0,1.0,1.0,,,,,,,,
2157,3.5,4.0,,,,10 June 2020,108728488,4950000.0000,"Claremont, Cape Town",House,719 m²,1.0,4.0,1.0,1.0,,,,1.0,,,,
2158,3.0,3.0,,,2.0,13 July 2020,108865310,9955000.0000,"Tokai, Cape Town",House,389 m²,,,,1.0,,,,,,,,
2159,1.0,1.0,,82 m²,,23 January 2020,108353792,2100000.0000,"31 Brickfield Road, Woodstock, Cape Town",Apartment / Flat,82 m²,,,,,,,,,,,,
2160,,,,34 m²,,10 June 2020,108726683,1300000.0000,"Tamboerskloof, Cape Town",Apartment / Flat,,,,,,,,,,,,,
2161,1.0,1.0,,48 m²,1.0,10 October 2018,106833236,2395000.0000,"1509 Stonehill Place, 9 Marine Street, Cape Town City Centre, Cape Town",Apartment / Flat,,,,1.0,,,,,,,,,
2162,1.0,1.0,,49 m²,1.0,21 November 2019,108205434,1500000.0000,"27 Klipfontein Road, Rondebosch, Cape Town",Apartment / Flat,,,,,,1.0,,,,,,,
2163,3.0,4.0,,228 m²,2.0,25 February 2020,108486989,6495000.0000,"15 Waterloo Road, Wynberg Upper, Cape Town",House,727 m²,1.0,,1.0,,1.0,,,,,,,
2164,2.0,2.0,,95 m²,,17 December 2019,108272072,5950000.0000,"143 Main Road, Green Point, Cape Town",Apartment / Flat,,,,,,,2.0,,,,,,
2165,1.5,1.0,,84 m²,,28 May 2020,108691015,1795000.0000,"Salt River, Cape Town",Apartment / Flat,,,1.0,,,1.0,,,,,,,
