,Bathrooms,Bedrooms,Fibre Internet,Floor Size,Garages,Listing Date,Listing Number,Price,Town,Type of Property,Erf Size,Garden,Parking,Pool,Pet Friendly,No Pets Allowed,Secure Parking,Furnished,Flatlet,ADSL Internet,Furnished (Optional),Satellite Internet,Fixed WiMax Internet
14,3.0,3.0,,164 m²,2.0,11 August 2020,108972581,16995000.0000,"Camps Bay, Cape Town",Apartment / Flat,,,,1.0,,,,,,,,,
15,1.0,2.0,,61 m²,1.0,20 July 2020,108892100,1050000.0000,"Ottery, Cape Town",Apartment / Flat,,1.0,,,1.0,,,,,,,,
16,2.0,4.0,,,,10 September 2020,109102865,2299000.0000,"Pinati, Cape Town",House,,,,,,,,,,,,,
17,1.0,0.5,,53 m²,1.0,16 July 2020,108879436,1895000.0000,"Sea Point, Cape Town",Apartment / Flat,,,,,1.0,,,,,,,,
18,1.0,3.0,,,1.0,23 August 2020,109020465,900000.0000,"Belhar, Cape Town",House,183 m²,,,,,,,,,,,,
19,1.0,2.0,,,1.0,04 September 2020,109065016,695000.0000,"Retreat, Cape Town",House,,,,,,,,,,,,,
20,1.0,2.0,,,1.0,14 August 2020,108987769,1950000.0000,"Pinelands, Cape Town",House,300 m²,1.0,,,,,,,,,,,
21,1.0,1.0,,34 m²,,27 August 2020,109039829,1320000.0000,"Observatory, Cape Town",Apartment / Flat,,1.0,,1.0,,,,,,,,,
22,3.5,3.0,,324 m²,2.0,03 June 2020,108704421,27995000.0000,"82 Hargraves Road, Llandudno, Cape Town",Apartment / Flat,,1.0,,1.0,1.0,,,,,,,,
23,2.0,3.0,,,2.0,12 August 2020,108976711,5950000.0000,"Claremont Upper, Cape Town",House,400 m²,,,1.0,1.0,,,,,,,,
24,1.0,1.0,,53 m²,,14 August 2020,108989910,1750000.0000,"Kenilworth, Cape Town",Apartment / Flat,342 m²,,1.0,,,,,,,,,,
25,2.0,3.0,,150 m²,2.0,15 June 2020,108762390,4995000.0000,"6a Bellair Road, Vredehoek, Cape Town",House,210 m²,1.0,,,1.0,,,,,,,,
26,2.0,2.0,,154 m²,2.0,12 April 2019,107402681,14850000.0000,"15 Dock Road, Waterfront, Cape Town",Apartment / Flat,,1.0,,1.0,1.0,,,,,,,,
27,1.0,1.0,,56 m²,,13 July 2020,108863903,1795000.0000,"Green Point, Cape Town",Apartment / Flat,,,,,,,,,,,,,
28,,,,,,31 July 2020,108934798,2800000.0000,"17 Martin Cres, Pelican Park, Cape Town",House,342 m²,,,,,,,,,,,,
29,4.0,4.0,,569 m²,,09 July 2020,100392643,29900000.0000,"Bantry Bay, Cape Town",House,1 029 m²,,,1.0,,,,,,,,,
30,1.0,1.0,,50 m²,1.0,17 September 2020,109129212,2600000.0000,"De Waterkant, Cape Town",Apartment / Flat,,,1.0,1.0,,1.0,,1.0,,,,,
31,2.0,4.0,,,1.0,19 September 2020,109139608,1395000.0000,"Charlesville, Cape Town",House,,,1.0,,,,,,,,,,
32,2.0,3.0,,,1.0,31 August 2020,109050113,980000.0000,"Pelican Park, Cape Town",House,300 m²,1.0,,,,,,,,,,,
33,2.0,4.0,,,1.0,02 July 2020,108824256,4495000.0000,"30 First Avenue, Harfield Village, Cape Town",House,402 m²,1.0,5.0,,1.0,,,,,,,,
34,1.0,1.0,,41 m²,,12 August 2020,108978741,1295000.0000,"Rondebosch, Cape Town",Apartment / Flat,,,1.0,,,1.0,,,,,,,
35,2.5,4.0,1.0,210 m²,1.0,21 August 2020,109016345,6250000.0000,"Stonehurst Mountain Estate, Cape Town",Townhouse,520 m²,,2.0,1.0,1.0,,,,,,,,
36,1.0,2.0,,,,18 September 2020,109137228,1100000.0000,"Ottery, Cape Town",Apartment / Flat,,,1.0,,,,,,,,,,
37,3.0,6.0,,350 m²,,14 August 2020,108987819,4650000.0000,"Plumstead, Cape Town",House,1 100 m²,,12.0,,1.0,,,,,,,,
38,5.5,9.0,,,3.0,25 August 2020,109028096,3750000.0000,"Pinelands, Cape Town",House,1 074 m²,,,,1.0,,,,1.0,,,,
